Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,20057.0,18020.0,18883.0,18336.0,18876.0,20136,14278.0,14501.0,17248.0,,
Albania,11525.0,12003.0,13209.0,15337.0,15582.0,15271,18086.0,19185.0,23388.0,27259.0,28372.0
Algeria,187494.0,180764.0,190004.0,194507.0,193361.0,164774,185850.0,225709.0,247789.0,264913.0,268885.0
Andorra,2789.0,2895.0,2993.0,3217.0,3155.0,2885,3325.0,3376.0,3786.0,4038.0,4035.0
Angola,131661.0,114764.0,139835.0,114189.0,94671.0,66521,84375.0,142442.0,109764.0,115946.0,113343.0
Antigua and Barbuda,1437.0,1490.0,1535.0,1662.0,1726.0,1412,1602.0,1867.0,2006.0,2225.0,2373.0
Argentina,642464.0,556774.0,643861.0,524431.0,446762.0,385218,486040.0,632318.0,645511.0,632145.0,683533.0
Armenia,10553.0,10546.0,11527.0,12458.0,13619.0,12642,13879.0,19514.0,24086.0,25533.0,26258.0
Aruba,2963.0,2984.0,3092.0,3276.0,3341.0,2486,2929.0,3279.0,3649.0,3952.0,4100.0
Australia,1233921.0,1262655.0,1381110.0,1417162.0,1386277.0,1362613,1655843.0,1725461.0,1742461.0,1796805.0,1771681.0
Austria,379584.0,393579.0,414780.0,452787.0,443033.0,434050,480786.0,472339.0,512509.0,521269.0,534301.0
Azerbaijan,52997.0,37830.0,41375.0,47113.0,48174.0,42693,54825.0,78807.0,72428.0,74316.0,78870.0
Bahamas,11672.0,11745.0,12237.0,12616.0,13016.0,9958,11369.0,13136.0,14338.0,14761.0,15178.0
Bahrain,32523.0,33885.0,37205.0,39568.0,40447.0,35838,40840.0,46458.0,46192.0,46943.0,47829.0
Bangladesh,233687.0,265236.0,293755.0,321379.0,351238.0,373902,416265.0,460201.0,451534.0,451096.0,467218.0
Barbados,5288.0,5331.0,5517.0,5630.0,5788.0,5168,5275.0,6257.0,6721.0,7167.0,7552.0
Belarus,56329.0,47703.0,54723.0,60011.0,64414.0,61312,68207.0,73735.0,71792.0,71180.0,71561.0
Belgium,461091.0,474141.0,500733.0,542885.0,536787.0,529269,598892.0,593906.0,644968.0,664965.0,684864.0
Belize,2193.0,2240.0,2266.0,2293.0,2388.0,2043,2421.0,2847.0,3067.0,3427.0,3611.0
Benin,11389.0,11818.0,12697.0,14257.0,14392.0,15674,17699.0,17439.0,19679.0,21249.0,22236.0
Bhutan,2159.0,2252.0,2462.0,2651.0,2618.0,2586,2623.0,2869.0,2923.0,3092.0,3422.0
Bolivia,33241.0,34189.0,37782.0,40581.0,41193.0,36897,40701.0,44329.0,45464.0,48404.0,56339.0
Bosnia and Herzegovina,16404.0,17117.0,18326.0,20484.0,20483.0,20226,23673.0,24535.0,27592.0,28795.0,28807.0
Botswana,13531.0,15083.0,16105.0,17032.0,16696.0,14930,18750.0,20321.0,19411.0,19356.0,19400.0
Brazil,1800046.0,1796622.0,2063519.0,1916934.0,1873286.0,1476092,1670650.0,1951849.0,2191137.0,2171337.0,2125958.0
Brunei,12930.0,11400.0,12128.0,13567.0,13469.0,12006,14006.0,16682.0,15095.0,15463.0,16007.0
Bulgaria,50766.0,53929.0,59288.0,66318.0,68639.0,70658,84477.0,90719.0,102434.0,112232.0,117007.0
Burkina Faso,11833.0,12829.0,14094.0,15916.0,16092.0,17837,19747.0,19588.0,21181.0,23975.0,27056.0
Burundi,3104.0,2960.0,3172.0,3037.0,3009.0,3089,3356.0,3922.0,4246.0,4743.0,6745.0
Cambodia,24217.0,26591.0,29394.0,33181.0,36682.0,34898,36797.0,39838.0,43304.0,47328.0,49799.0
Cameroon,32213.0,33805.0,36086.0,39992.0,39673.0,40863,45036.0,44442.0,49283.0,52784.0,56011.0
Canada,1556508.0,1527996.0,1649266.0,1725300.0,1743725.0,1655685,2022382.0,2190411.0,2173340.0,2241253.0,2225341.0
Cape Verde,1750.0,1850.0,1997.0,2205.0,2251.0,1831,2053.0,2309.0,2588.0,2726.0,2786.0
Central African Republic,1696.0,1825.0,2072.0,2280.0,2279.0,2389,2585.0,2460.0,2602.0,2831.0,2932.0
Chad,14561.0,13023.0,13344.0,15334.0,14906.0,14954,16881.0,17867.0,18343.0,19078.0,18792.0
Chile,242515.0,249306.0,276357.0,295428.0,278040.0,254060,315411.0,301270.0,335627.0,330210.0,343823.0
China,11307226.0,11448003.0,12503299.0,14110963.0,14572410.0,15103357,18190803.0,18307816.0,18270351.0,18748009.0,19231705.0
Colombia,293493.0,282720.0,311890.0,334124.0,323055.0,270348,318525.0,345632.0,366292.0,418542.0,427766.0
Comoros,966.0,1013.0,1077.0,1179.0,1188.0,1218,1273.0,1223.0,1335.0,1456.0,1548.0
Costa Rica,56442.0,58847.0,60517.0,62422.0,64412.0,62382,64954.0,69235.0,86509.0,95365.0,102591.0
Croatia,51012.0,52640.0,56166.0,61694.0,61472.0,57919,69055.0,71260.0,84416.0,92506.0,98951.0
Cyprus,19911.0,21041.0,22938.0,25766.0,26200.0,25535,30393.0,31001.0,33897.0,36156.0,38736.0
Czech Republic,189108.0,198161.0,221564.0,251992.0,256794.0,251110,290973.0,301831.0,343207.0,344931.0,360244.0
DR Congo,40154.0,38086.0,39461.0,48037.0,50891.0,49613,55327.0,63324.0,64402.0,71011.0,79119.0
Denmark,301759.0,312182.0,331611.0,355293.0,345402.0,355631,408378.0,401946.0,407092.0,429458.0,449940.0
Djibouti,2424.0,2605.0,2763.0,2913.0,3089.0,3144,3393.0,3563.0,3917.0,4257.0,4587.0
Dominica,541.0,576.0,522.0,555.0,612.0,504,555.0,607.0,654.0,697.0,742.0
Dominican Republic,71056.0,75625.0,79153.0,85068.0,89237.0,78625,95067.0,113813.0,120794.0,124613.0,127828.0
Ecuador,97210.0,97671.0,104467.0,107479.0,107596.0,95865,107179.0,116133.0,121147.0,121728.0,125677.0
Egypt,350119.0,351443.0,246826.0,263156.0,317894.0,382525,423300.0,475231.0,393828.0,383109.0,347342.0
El Salvador,23438.0,24191.0,24979.0,26021.0,26881.0,24921,29043.0,31989.0,34016.0,35337.0,36749.0
Equatorial Guinea,13187.0,11238.0,12197.0,13309.0,11365.0,9908,12222.0,13717.0,12339.0,12544.0,12684.0
Eritrea,2016.0,2213.0,1904.0,2006.0,1982.0,1982,,,,,
Estonia,23314.0,24554.0,27460.0,31237.0,31877.0,31795,37229.0,38406.0,41303.0,42752.0,45004.0
Eswatini,4061.0,3815.0,4407.0,4667.0,4495.0,3984,4851.0,4791.0,4858.0,5199.0,5483.0
Ethiopia,63081.0,72120.0,76841.0,80207.0,92608.0,96611,99261.0,118958.0,159761.0,143123.0,117457.0
Federated States of Micronesia,312.0,327.0,361.0,394.0,395.0,373,392.0,416.0,444.0,471.0,500.0
Fiji,4682.0,4930.0,5353.0,5581.0,5444.0,4432,4305.0,4970.0,5442.0,5949.0,6257.0
Finland,233234.0,238712.0,253757.0,273993.0,267044.0,269784,294419.0,280474.0,295036.0,298833.0,303945.0
France,2442731.0,2469726.0,2587955.0,2782838.0,2723094.0,2645806,2968405.0,2797049.0,3056880.0,3162023.0,3211292.0
Gabon,14385.0,14020.0,14924.0,16830.0,16875.0,15364,19455.0,20485.0,20059.0,20774.0,20391.0
Gambia,1355.0,1470.0,1498.0,1662.0,1806.0,1809,2045.0,2135.0,2345.0,2558.0,2771.0
Georgia,15223.0,15445.0,16472.0,17905.0,17645.0,16013,18849.0,24985.0,30778.0,33775.0,35353.0
Germany,3423915.0,3536808.0,3761764.0,4053846.0,3957645.0,3936989,4351188.0,4166872.0,4527009.0,4658526.0,4744804.0
Ghana,49437.0,56144.0,60385.0,67259.0,68353.0,70008,79514.0,73919.0,80547.0,82825.0,88332.0
Greece,194587.0,193044.0,200310.0,213396.0,207329.0,191210,218449.0,219053.0,243569.0,257067.0,267348.0
Grenada,997.0,1062.0,1126.0,1167.0,1213.0,1043,1123.0,1231.0,1325.0,1392.0,1464.0
Guatemala,62180.0,66034.0,71624.0,73331.0,77156.0,77718,86467.0,95631.0,104436.0,112575.0,121177.0
Guinea,8790.0,8604.0,10325.0,11857.0,13443.0,14089,16320.0,19589.0,22750.0,25758.0,30094.0
Guinea-Bissau,1153.0,1245.0,1469.0,1555.0,1487.0,1523,1722.0,1721.0,2005.0,2184.0,2274.0
Guyana,4280.0,4483.0,4748.0,4788.0,5174.0,5471,8041.0,14718.0,16919.0,24659.0,25822.0
Haiti,14831.0,13996.0,15036.0,16454.0,14787.0,14508,21017.0,19826.0,19603.0,26229.0,33548.0
Honduras,20834.0,21564.0,22982.0,23907.0,24711.0,23190,27950.0,31233.0,34229.0,36965.0,38172.0
Hong Kong,309386.0,320860.0,341271.0,361731.0,363075.0,344941,368954.0,358680.0,381066.0,407107.0,423999.0
Hungary,125244.0,128984.0,143335.0,161185.0,164927.0,158468,183283.0,178321.0,214098.0,223060.0,237070.0
Iceland,17517.0,20793.0,24728.0,26261.0,24681.0,21630,25770.0,28696.0,31452.0,33463.0,35309.0
India,2103588.0,2294797.0,2651474.0,2702930.0,2835606.0,2674852,3167271.0,3346107.0,3638490.0,3909097.0,4187017.0
Indonesia,860854.0,931877.0,1015619.0,1042272.0,1119100.0,1059055,1186510.0,1319101.0,1371169.0,1396300.0,1429743.0
Iran,408288.0,458042.0,486829.0,332846.0,241658.0,195528,289294.0,376254.0,372820.0,401357.0,341013.0
Iraq,177634.0,168429.0,190048.0,230189.0,236682.0,182576,210753.0,288059.0,270799.0,277478.0,258020.0
Ireland,302422.0,305649.0,348411.0,395641.0,407170.0,436205,531660.0,549003.0,551554.0,577216.0,598840.0
Israel,303469.0,321941.0,358453.0,376301.0,400648.0,410771,489854.0,525183.0,512185.0,540381.0,583361.0
Italy,1845615.0,1886590.0,1970027.0,2100387.0,2019831.0,1905956,2180656.0,2105722.0,2305271.0,2372059.0,2422855.0
Ivory Coast,45815.0,48408.0,52512.0,58522.0,60383.0,63119,72833.0,71075.0,79630.0,87096.0,94483.0
Jamaica,14154.0,14108.0,14755.0,15648.0,15808.0,13885,14674.0,17003.0,19315.0,20069.0,21411.0
Japan,4444931.0,5003678.0,4930837.0,5040881.0,5117995.0,5054069,5039148.0,4262146.0,4213167.0,4026211.0,4186431.0
Jordan,38642.0,39949.0,41667.0,43432.0,44566.0,43762,46362.0,48722.0,51161.0,53428.0,56102.0
Kazakhstan,184388.0,137278.0,166806.0,179340.0,181667.0,171082,197112.0,225496.0,261840.0,284810.0,300538.0
Kenya,70370.0,74816.0,81965.0,92211.0,100328.0,100912,109875.0,114733.0,108747.0,120899.0,131673.0
Kiribati,192.0,207.0,223.0,234.0,217.0,222,285.0,271.0,289.0,308.0,312.0
Kosovo,6296.0,6681.0,7178.0,7882.0,7900.0,7728,9418.0,9375.0,10470.0,11151.0,11274.0
Kuwait,114606.0,109399.0,120688.0,138655.0,140855.0,111048,148455.0,183977.0,163716.0,158568.0,153101.0
Kyrgyzstan,6678.0,6813.0,7703.0,8271.0,9372.0,8283,9256.0,12269.0,15187.0,17491.0,19849.0
Laos,14418.0,15904.0,17055.0,18131.0,18770.0,18511,18533.0,15121.0,14978.0,15879.0,16322.0
Latvia,26347.0,27110.0,29381.0,33263.0,33103.0,33353,38209.0,38045.0,42584.0,43508.0,45535.0
Lebanon,49929.0,51150.0,53030.0,54900.0,50928.0,24976,19782.0,24748.0,23607.0,28280.0,
Lesotho,2202.0,2206.0,2424.0,2472.0,2323.0,2092,2445.0,2275.0,2213.0,2309.0,2404.0
Liberia,3092.0,3256.0,3321.0,3264.0,3080.0,3037,3509.0,3974.0,4390.0,4818.0,5166.0
Libya,48718.0,49913.0,67153.0,76682.0,69237.0,46893,35216.0,43281.0,43958.0,42159.0,47484.0
Lithuania,41548.0,42952.0,47745.0,54294.0,55132.0,57352,67068.0,71082.0,79824.0,84847.0,89192.0
Luxembourg,60078.0,62200.0,65689.0,71118.0,69880.0,73612,86444.0,80865.0,87599.0,93169.0,96613.0
Macau,45048.0,45071.0,50384.0,55191.0,55082.0,25344,30969.0,24998.0,45802.0,50182.0,53354.0
Madagascar,11323.0,11849.0,13176.0,13760.0,14105.0,13051,14355.0,15326.0,15870.0,17420.0,18708.0
Malawi,9014.0,7733.0,8943.0,9882.0,11031.0,11847,12475.0,12531.0,13439.0,11797.0,13959.0
Malaysia,301355.0,301256.0,319109.0,358783.0,365178.0,337456,373785.0,407605.0,399705.0,419617.0,444984.0
Maldives,4118.0,4398.0,4809.0,5398.0,5716.0,3706,5242.0,6168.0,6581.0,7019.0,7480.0
Mali,13106.0,14022.0,15360.0,17079.0,17281.0,17491,19320.0,19319.0,21184.0,22724.0,23208.0
Malta,11342.0,12022.0,14156.0,16161.0,16340.0,16397,19737.0,19254.0,22217.0,24315.0,25750.0
Marshall Islands,184.0,202.0,214.0,220.0,233.0,242,259.0,253.0,259.0,280.0,297.0
Mauritania,6182.0,6414.0,6826.0,7472.0,7894.0,8464,9126.0,9564.0,10649.0,10697.0,11470.0
Mauritius,12007.0,12594.0,13714.0,14736.0,14436.0,11408,11484.0,12908.0,14101.0,14953.0,15495.0
Mexico,1213294.0,1112233.0,1190721.0,1256300.0,1304106.0,1121065,1316569.0,1466465.0,1793799.0,1852723.0,1692640.0
Moldova,7778.0,7981.0,9515.0,11252.0,11737.0,11530,13694.0,14493.0,16751.0,18126.0,19462.0
Mongolia,11620.0,11154.0,11481.0,13207.0,14206.0,13313,15286.0,17146.0,20315.0,23586.0,25804.0
Montenegro,4055.0,4376.0,4855.0,5509.0,5543.0,4777,5865.0,6243.0,7532.0,8023.0,8562.0
Morocco,110414.0,111573.0,118541.0,127341.0,128920.0,121354,142022.0,130952.0,144438.0,155350.0,165835.0
Mozambique,16209.0,12069.0,13265.0,15017.0,15513.0,14235,16168.0,18884.0,20954.0,21944.0,23771.0
Myanmar,57338.0,58808.0,60285.0,67051.0,82568.0,65631,58264.0,61723.0,61466.0,61176.0,64944.0
Namibia,11450.0,10719.0,12883.0,13676.0,12539.0,10583,12399.0,12564.0,12402.0,13370.0,14214.0
Nauru,76.0,100.0,109.0,131.0,125.0,125,176.0,152.0,152.0,161.0,169.0
Nepal,24361.0,24524.0,28972.0,33112.0,34186.0,33434,36927.0,41183.0,40907.0,43419.0,46080.0
Netherlands,775822.0,796944.0,847934.0,930155.0,929006.0,931814,1055173.0,1047364.0,1154694.0,1227174.0,1272011.0
New Zealand,176455.0,186081.0,203819.0,209747.0,210995.0,210541,249775.0,245203.0,253436.0,257728.0,248666.0
Nicaragua,12757.0,13286.0,13786.0,13025.0,12713.0,12730,14208.0,15634.0,17820.0,19710.0,21155.0
Niger,9684.0,10350.0,11181.0,12814.0,12917.0,13764,14923.0,15458.0,16809.0,19866.0,21874.0
Nigeria,494307.0,405019.0,375756.0,421739.0,474517.0,432299,441074.0,476468.0,363816.0,187640.0,188271.0
North Macedonia,10067.0,10686.0,11336.0,12694.0,12609.0,12385,14008.0,13957.0,15772.0,16679.0,17885.0
Norway,388160.0,370957.0,401745.0,439789.0,408743.0,367633,503368.0,596298.0,482950.0,483727.0,504276.0
Oman,78711.0,75129.0,80857.0,91506.0,88061.0,75909,87324.0,109853.0,105896.0,106943.0,104351.0
Pakistan,299930.0,313623.0,339229.0,356163.0,321071.0,300410,348481.0,374850.0,337754.0,373078.0,
