FECHA                PRECIP        EVAP        TMAX        TMIN
                (mm)        (mm)        (°C )        (°C)
1971-05-01        0        NULO        NULO        NULO
1971-05-02        0        NULO        NULO        NULO
1971-05-03        0        NULO        NULO        NULO
1971-05-04        0        NULO        NULO        NULO
1971-05-05        0        NULO        NULO        NULO
1971-05-06        0        NULO        NULO        NULO
1971-05-07        0        NULO        NULO        NULO
1971-05-08        0        NULO        NULO        NULO
1971-05-09        0        NULO        NULO        NULO
1971-05-10        0        NULO        NULO        NULO
1971-05-11        0        NULO        NULO        NULO
1971-05-12        0        NULO        NULO        NULO
1971-05-13        0        NULO        NULO        NULO
1971-05-14        0        NULO        NULO        NULO
1971-05-15        0        NULO        NULO        NULO
1971-05-16        0        NULO        NULO        NULO
1971-05-17        0        NULO        NULO        NULO
1971-05-18        0        NULO        NULO        NULO
1971-05-19        0        NULO        NULO        NULO
1971-05-20        0        NULO        NULO        NULO
1971-05-21        0        NULO        NULO        NULO
1971-05-22        0        NULO        NULO        NULO
1971-05-23        23        NULO        NULO        NULO
1971-05-24        13        NULO        NULO        NULO
1971-05-25        0        NULO        NULO        NULO
1971-05-26        0        NULO        NULO        NULO
1971-05-27        0        NULO        NULO        NULO
1971-05-28        11.6        NULO        NULO        NULO
1971-05-29        0        NULO        NULO        NULO
1971-05-30        0        NULO        NULO        NULO
1971-05-31        0        NULO        NULO        NULO
1971-07-01        2.1        NULO        NULO        NULO
1971-07-02        0        NULO        NULO        NULO
1971-07-03        3.5        NULO        NULO        NULO
1971-07-04        0        NULO        NULO        NULO
1971-07-05        0        NULO        NULO        NULO
1971-07-06        0        NULO        NULO        NULO
1971-07-07        0        NULO        NULO        NULO
1971-07-08        0        NULO        NULO        NULO
1971-07-09        0        NULO        NULO        NULO
1971-07-10        0        NULO        NULO        NULO
1971-07-11        0        NULO        NULO        NULO
1971-07-12        0        NULO        NULO        NULO
1971-07-13        0        NULO        NULO        NULO
1971-07-14        0        NULO        NULO        NULO
1971-07-15        5.2        NULO        NULO        NULO
1971-07-16        0        NULO        NULO        NULO
1971-07-17        0        NULO        NULO        NULO
1971-07-18        3.4        NULO        NULO        NULO
