TIMESTAMP,Temp_original,Temp_faltantes
2023-04-01 0:00:00,22.53,22.53
2023-04-01 1:00:00,21.27,21.27
2023-04-01 2:00:00,18.57,18.57
2023-04-01 3:00:00,16.43,16.43
2023-04-01 4:00:00,15.37,
2023-04-01 5:00:00,15.18,15.18
2023-04-01 6:00:00,13.34,13.34
2023-04-01 7:00:00,12.52,12.52
2023-04-01 8:00:00,13.32,
2023-04-01 9:00:00,16.17,16.17
2023-04-01 10:00:00,20.04,20.04
2023-04-01 11:00:00,23.03,23.03
2023-04-01 12:00:00,25.38,
2023-04-01 13:00:00,26.55,26.55
2023-04-01 14:00:00,27.94,27.94
2023-04-01 15:00:00,29.08,
2023-04-01 16:00:00,29.56,29.56
2023-04-01 17:00:00,29.63,29.63
2023-04-01 18:00:00,29.7,
2023-04-01 19:00:00,28.77,28.77
2023-04-01 20:00:00,26.9,26.9
