cve_entidad,entidad,cve_plantel,plantel,genero,nombre_empresa,carrera,sueldo_mensual_expresado_mnx,periodo
1,Aguascalientes,3010630,Aguascalientes II,F,Sumitomo Electric,Máquinas Herramienta,"$6,001 - 8,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,F,Trabajo cuidando pacientes a domicilio,Enfermería General,"$6,001 - 8,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,F,Médica San Juan,Enfermería General,"$6,001 - 8,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,F,Agencia de enfermería Kanans,Enfermería General,"$10,001 - 15,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,M,Kitagawa,Máquinas Herramienta,"$6,001 - 8,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,M,Nissan,Industria Automotriz,"$8,001 - 10,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,M,Invova,Industria Automotriz,"$6,001 - 8,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,F,NORCYD,Industria Automotriz,"$1,000 - 2,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,M,AKA FERRETERÍA,Máquinas Herramienta,"$6,001 - 8,000",Octubre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,F,EUROPIEL,Enfermería General,"$8,001 - 10,000",Diciembre 2024 (Mensual)
1,Aguascalientes,3010630,Aguascalientes II,M,PEPITO HD,Máquinas Herramienta,"$6,001 - 8,000",Diciembre 2024 (Mensual)
1,Aguascalientes,3012840,Aguascalientes III,M,FORMASA,Electromecánica Industrial,"$6,001 - 8,000",Febrero 2024 (Mensual)
1,Aguascalientes,3012840,Aguascalientes III,M,FORMASA,Electromecánica Industrial,"$6,001 - 8,000",Febrero 2024 (Mensual)
1,Aguascalientes,3012840,Aguascalientes III,F,GARAGE,Administración,"$1,000 - 2,000",Septiembre 2024 (mensual)
1,Aguascalientes,3012840,Aguascalientes III,F,GARAGE,Administración,"$1,000 - 2,000",Septiembre 2024 (mensual)
1,Aguascalientes,3013180,Aguascalientes IV,F,SÚPER ANAÍ,Hospitalidad Turística,"$6,001 - 8,000",Septiembre 2024 (mensual)
1,Aguascalientes,3013180,Aguascalientes IV,M,RESTAURANTE LA BAHÍA,Hospitalidad Turística,"$4,001 - 6,000",Septiembre 2024 (mensual)
1,Aguascalientes,3013180,Aguascalientes IV,F,SERVICIOS Y EQUIPOS VS INVENDIOS,Seguridad e Higiene y Protección Civil,"$4,001 - 6,000",Septiembre 2024 (mensual)
1,Aguascalientes,3013180,Aguascalientes IV,F,TIENDA DE ABARROTES,Hospitalidad Turística,"$8,001 - 10,000",Septiembre 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,AGROINDUSTRIAS DE AGS.,Contabilidad,"$6,001 - 8,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,SOLFIS,Contabilidad,"$6,001 - 8,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,SOLUCIONES TÉCNICA DIESEL,Contabilidad,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,FANDHER,Contabilidad,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,RIPLAST,Contabilidad,"$6,001 - 8,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,SOLFIS,Contabilidad,"$6,001 - 8,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,FORESIGHT,Mantenimiento Automotriz,"$6,001 - 8,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,BIG AUTO,Mantenimiento Automotriz,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,BIG AUTO,Mantenimiento Automotriz,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,BIG AUTO,Mantenimiento Automotriz,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,SOLUCIONES TÉCNICA DIESEL,Mantenimiento Automotriz,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,TG GLZ. TALLER DIESEL,Mantenimiento Automotriz,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,SAKAIYA,Mantenimiento Automotriz,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,F,FANDHER,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,LA HUERTA,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,M,MALHE,Mantenimiento de Sistemas Automáticos,"$8,001 - 10,000",Agosto 2024 (mensual)
