Report.ID,Event.ID,Anonymous.at.point.of.interview,Location,Year,Year.for.analysis,EncounterMonthNumeric,TimeSI,Report.Year.for.analysis,BSSTranslated,AllDistNADpriority,Duration,SeenLengthSI,Handedness
125,E123,N,Shore,c. 1880,1880,NA,NA,1962,NA,91.44,NA,NA,2nd
126,E124,Y,Shore,1939,1939,NA,NA,1961,NA,NA,NA,NA,2nd
127,E125,Y,NK,very late 1870s,1879,NA,13,1961,NA,NA,NA,NA,2nd
141,E139,N,Shore,1961,1961,7,NA,NA,0,NA,NA,NA,1st
163,E160,N,Boat,Probably 1970,1970,8,19.5,NA,NA,91.44,NA,NA,1st
3550,E171,N,Shore,1972,1972,8,15.5,1972,1,4023.36,3,NA,1st
189,E177.1,N,Boat,1920,1920,NA,NA,1964,NA,NA,NA,NA,1st
190,E178,N,Shore,1954,1954,7,14,1964,NA,NA,NA,NA,1st
191,E179,N,Shore,1954,1954,7,NA,1964,NA,NA,NA,NA,1st
192,E180,N,Shore,1960,1960,8,NA,1964,NA,804.67,NA,NA,1st
193,E181,N,Shore,1963,1963,8,NA,1964,NA,13.716,NA,NA,2nd
197,E185,N,Shore,1960,1960,4,NA,NA,NA,NA,NA,NA,1st
199,E187,N,Boat,1969,1969,8,NA,NA,3,NA,NA,NA,1st
200,E188,N,Shore,1960,1960,2,15.21,NA,1.5,1554.48,9,16.1544,1st
202,E190,N,Boat,1971,1971,8,NA,NA,NA,0,NA,NA,1st
206,E194,N,Shore,1958,1958,5,NA,1961,NA,NA,NA,NA,1st
204,E192,N,Shore,1971,1971,10,14.25,1971,0,804.72,2,NA,1st
205,E193,N,Shore,1971,1971,10,NA,1971,0,274.32,0.333333333,NA,1st
207,E195,N,Boat,1964,1964,1,NA,1964,0,1207.08,2.5,NA,1st
208,E196,N,NK,1964,1964,3,11.15,1964,0,1207.008,3,NA,1st
209,E197,Y,NK,1964,1964,5,NA,1964,NA,1609.44,NA,NA,2nd
211,E199,N,NK,1964,1964,5,NA,1964,1,2414.016,0.125,NA,1st
215,E203,N,NK,1964,1964,7,NA,1964,2,91.44,1.5,NA,2nd
216,E204,N,NK,1964,1964,8,NA,1964,NA,NA,5,NA,2nd
217,E205,N,NK,1964,1964,8,NA,1964,NA,NA,NA,NA,2nd
218,E206,Y,NK,1964,1964,NA,NA,1964,NA,NA,NA,NA,2nd
219,E207,Y,NK,1964,1964,NA,NA,1964,NA,NA,NA,NA,2nd
220,E208,N,NK,1964,1964,9,14.67,1964,1,365.76,0.166666667,4.572,1st
4328,E209,N,Shore,1964,1964,9,NA,1964,NA,NA,NA,NA,1st
222,E210,N,NK,1964,1964,10,NA,1964,NA,NA,NA,NA,2nd
223,E211,Y,NK,1964,1964,10,NA,1964,NA,NA,NA,NA,2nd
224,E212,N,Shore,1965,1965,3,NA,1965,NA,NA,NA,NA,1st
225,E213,N,Shore,1965,1965,7,NA,1965,NA,NA,6,4.572,1st
226,E214,N,Boat,1936,1936,6,NA,NA,NA,NA,NA,NA,2nd
1547,E1533,N,Shore,1977,1977,5,8.5,1996,NA,274.32,NA,NA,1st
1552,E1538,Y,NK,2004,2004,2,NA,2004,NA,NA,NA,NA,2nd
1626,E1611,N,Shore,2007,2007,5,22,2007,NA,91.44,2.5,1.524,1st
1643,E1628,N,NK,1960,1960,12,NA,NA,NA,804.672,15,NA,2nd
1644,E1629,N,Shore,1955,1955,7,NA,1980,NA,NA,NA,NA,1st
1714,E1698,Y,NK,2005,2005,8,NA,NA,NA,NA,NA,NA,2nd
1715,E1699,Y,NK,2005,2005,8,NA,NA,NA,NA,NA,NA,2nd
1716,E1700,Y,NK,2005,2005,9,NA,NA,NA,NA,NA,NA,2nd
1738,E1721,N,NK,1977,1977,NA,NA,NA,NA,NA,NA,NA,2nd
1739,E1722,N,NK,1977,1977,NA,NA,NA,NA,NA,NA,NA,2nd
1740,E1723,N,NK,1977,1977,NA,NA,NA,NA,NA,NA,NA,2nd
1743,E1726,N,Shore,1977,1977,5,16,1996,NA,91.44,NA,NA,1st
1751,E1733,N,NK,1969,1969,NA,NA,NA,NA,NA,NA,NA,2nd
1756,E1738,Y,NK,1983,1983,9,NA,NA,NA,NA,NA,NA,2nd
1878,E1823,N,NK,1983,1983,8,NA,NA,NA,1609.344,NA,1.8288,1st
1881.1,E1895,N,Shore,1934,1934,7,NA,1934,NA,NA,10,NA,1st
2274,E1963,N,Shore,1933,1933,4,NA,1933,0,411.48,NA,6.096,1st
1958,E1965,N,NK,1999,1999,3,NA,2001,NA,182.88,NA,NA,1st
1959,E1966,N,Shore,2000,2000,1,NA,2000,NA,274.32,NA,NA,1st
2086,E2089,N,Shore,1936,1936,9,NA,1936,NA,NA,NA,NA,1st
2096,E2099,N,Shore,1936?,1936,9,NA,1936,0,NA,15,NA,1st
2097,E2100,N,NK,1936,1936,6,11,1936,NA,NA,NA,NA,1st
2098,E2101,N,Shore,1977,1977,8,NA,1980,NA,NA,NA,NA,1st
2118,E2121,N,Shore,Late 1980s,1987,NA,NA,1993,NA,NA,40,NA,1st
2119,E2122,N,Shore,1987,1987,6,NA,1993,0,NA,12.5,NA,1st
2120,E2123,N,Shore,1993,1993,6,NA,1993,NA,NA,NA,NA,1st
2162,E2162,Y,Shore,1935,1935,NA,NA,NA,0,NA,6,NA,1st
2164,E2164,N,Shore,1952,1952,NA,NA,1952,NA,45.72,NA,NA,2nd
