Tagged Fish Id,Date,Tag Life,Transmitter Model,Tagging Location,Total Length,Weight,Sex,Record Number,Accessed Date,Source Url,Preferred Citation
88A,2005-05-05 00:00:00,170,V13-1H-R256-20-60,Willapa Bay,162,16,F,Row 1 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1612B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,218,43,F,Row 2 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1613B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,253,77,F,Row 3 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1614B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,165,17,F,Row 4 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1615B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,167,20,M,Row 5 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1616B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,229,47,M,Row 6 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1617B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,166,19,M,Row 7 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1618B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,255,75,F,Row 8 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1619B,2005-08-15 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,139,12,F,Row 9 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1620B,2005-08-16 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,240,60,M,Row 10 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1621B,2005-08-16 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,240,52,M,Row 11 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1622B,2005-08-16 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,226,53,M,Row 12 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1623B,2005-08-17 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,166,20,M,Row 13 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1624B,2005-08-18 00:00:00,386,V16-5H-R04K-30-79,Grays Harbor,155,,F,Row 14 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1625B,2005-08-17 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,235,57,M,Row 15 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1626B,2005-09-12 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,176,21,F,Row 16 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1627B,2005-09-12 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,157,16,F,Row 17 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1628B,2005-09-12 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,200,38,F,Row 18 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1629B,2005-09-12 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,197,30,M,Row 19 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1630B,2005-09-12 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,204,36,M,Row 20 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1631B,2005-09-12 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,178,23,F,Row 21 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1632B,2005-09-15 00:00:00,386,V16-5H-R04K-30-79,Grays Harbor,251,,F,Row 22 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1633B,2006-04-10 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,181,27,M,Row 23 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
1634B,2006-04-10 00:00:00,386,V16-5H-R04K-30-79,Willapa Bay,257,111,F,Row 24 of 32,Accessed on 2021-06-23 19:02:58,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch,"Williams, Gregory; 06/05/2018. NOAA Fisheries Northwest Fisheries Science Center. Sevengill shark data: Sevengill Shark Tag Catch (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/sevengill_shark_tag_catch)"
