País        TP        Tmin        Tmax        Lluvia(mm)
AFG        285.6        278.5        292.7        327
AGO        294.5        287.8        301.3        1010
AIA        298.6        294.7        302.5        1523
ALB        284.4        279.3        289.5        996
AND        280.6        275.9        285.3        973
ARE        300        294        306        78
ARG        287.8        281.2        294.4        591
ARM        280.1        274.3        286        562
ATF        300.1        296.4        303.9        1445
ATG        299        295.5        302.5        2420
AUS        294.6        287.9        301.4        535
AUT        279.3        275.3        283.4        1110
AZE        284.9        279.7        290.2        447
BDI        292.7        286.8        298.8        1218
BEL        282.6        278.5        286.6        847
BEN        300.5        294.7        306.4        1039
BFA        301.2        294.5        308        748
BGD        298        293.4        302.6        2665
BGR        283.5        278.6        288.5        608
BHR        300.1        293.5        306.8        83
BHS        297.8        292.8        302.9        1292
BIH        282.8        278        287.7        1028
BLR        279.2        275        283.3        618
BLZ        298.3        294        302.6        2191
BMU        294.3        289.6        299        1506
BOL        294.5        288.2        300.9        1146
BRA        297.9        292.6        303.3        1782
BRB        299        295.4        302.6        2066
BRN        299.9        295.9        303.8        2722
BTN        280.4        274.2        286.6        1667
BWA        294.5        286.6        302.4        416
CAF        297.9        291.3        304.5        1343
CAN        267.6        262.9        272.4        537
CCK        299.4        297        301.9        2083
CHE        278.5        275        282        1537
CHL        281.5        276.5        286.4        716
CHN        279.9        273.9        286        627
CIV        299.4        294.1        304.6        1348
CMR        297.6        292.1        303.1        1604
COG        297.5        292.8        302.3        1646
COK        297.6        294.6        300.6        1925
COL        297.5        292.6        302.4        2612
COM        298.5        294.6        302.5        1754
CPV        296.3        292.6        300        424
CRI        297.8        292.6        303        2926
CUB        298.2        293.4        303        1335
CXR        298.6        293.3        303.9        2582
CYP        291.4        286.1        296.8        498
CZE        280.5        276.3        284.8        677
DEU        281.4        277.6        285.4        700
DJI        301        295.8        306.2        220
DMA        295.3        291.9        298.8        3436
DNK        280.5        277.3        283.7        703
DOM        297.5        292.9        302.2        1410
DZA        295.5        288.4        302.6        89
ECU        294.8        288.6        301.1        2087
EGY        295.1        287.8        302.4        51
ERI        298.5        291.9        305.1        384
ESP        286.3        280.9        291.7        636
EST        278.1        274.5        281.7        626
ETH        295.2        288.5        301.9        848
FIN        274.7        270.6        278.8        536
FJI        297.4        293.9        300.9        2593
FLK        278.9        275        282.8        544
FRA        283.7        279.5        287.9        867
FRO        279.1        276.8        281.4        1578
GAB        298        293.9        302.2        1831
GBR        281.4        278.1        284.8        1220
GEO        278.8        273.4        284.2        1026
GHA        300.2        295.1        305.3        1187
GIB        290.5        286.3        294.7        618
GIN        298.7        292.6        304.8        1651
GLP        298.6        295.3        302        3024
GMB        300.5        293.4        307.6        837
GNB        299.7        293.9        305.6        1577
GNQ        297.5        293.6        301.5        2156
GRC        288.4        283.5        293.3        652
GRD        299.6        295.8        303.5        1535
GRL        257        250.4        263.5        585
GTM        296.4        291.2        301.7        2712
GUF        298.6        294.6        302.7        2895
GUY        299        294.6        303.4        2387
HKG        295.6        292.3        299        2240
HND        296.5        291.9        301.1        1976
HRV        283.9        279.2        288.6        1113
HTI        297.9        293.1        302.7        1440
HUN        282.8        277.8        287.7        589
IDN        298.8        294.1        303.6        2702
IND        296.7        290.7        302.6        1083
IRL        282.3        278.9        285.7        1118
IRN        290.2        283.1        297.4        228
IRQ        294.4        287.1        301.7        216
ISL        274.8        271.9        277.6        978
ISR        292.2        286.4        298        435
ITA        286.4        282.5        290.4        832
JAM        297.9        293.6        302.3        2051
JOR        291.3        284.2        298.4        111
JPN        284.1        280        288.3        1668
KAZ        279.4        273.6        285.2        250
KEN        297.7        291.9        303.6        692
KGZ        274.6        268.4        280.7        381
KHM        299.8        295.3        304.3        1903
KIR        301.2        298.3        304.1        1942
KNA        297.5        293.8        301.2        2133
KOR        284.5        279.5        289.5        1404
KWT        298.3        291.5        305.2        121
LAO        295.8        291.2        300.4        1834
LBN        289.4        283.7        295.1        661
LBR        298.3        293        303.6        2391
LBY        294.8        287.4        302.2        57
LCA        298.5        295.2        301.8        2301
LIE        278.6        275.2        282.1        1539
LKA        299.9        296.3        303.6        1712
LSO        284.8        278.2        291.5        789
LTU        279.2        275.3        283.1        656
LUX        281.7        277.4        285.9        934
LVA        278.6        274.9        282.3        641
MAC        295.8        292.5        299.1        2219
MAR        290.1        284.1        296.1        346
