Content,Video title,Video publish time,Views,Impressions,Impressions click-through rate (%),Average view duration
Total,14024212,21176705,8.13,0:02:36,,
Fdta8t80avE,Recta numérica,"Aug 27, 2014",872806,902391,13,0:02:10
4-wPlVk8haw,¿Cómo insertar una imagen dentro de  una celda de Excel? (Básico),"Jan 30, 2017",758391,699276,24.48,0:01:34
Z2A3EM0-fc0,Uso de la calculadora científica: Fracciones,"Jun 17, 2015",590769,375162,14.76,0:01:26
SFZ7jcvbl8E,¿Cómo calcular el caudal y la velocidad en una tubería? (Muy básico),"Aug 11, 2017",438557,509949,7.64,0:02:30
XXjra_JzwNs,Ejemplos de Fracciones Parciales,"Apr 10, 2016",424331,555563,13.2,0:03:29
u8g_tyV5kTM,¿Cómo calcular el error relativo porcentual? (Muy básico),"Jun 24, 2017",181799,64271,13.44,0:01:19
Vp-PLlq0nQQ,Calcular el diámetro de una tubería | Mecánica de fluidos  | ¡Muy Básico!,"Jan 18, 2018",158997,111502,5.37,0:02:52
OFbH2_zz3J0,Cálculo con los reactivos limitante y en exceso: Porcentaje de rendimiento y cantidad sin reaccionar,"Mar 11, 2017",155573,114295,8.58,0:03:06
r-SaWRpXEX4,Experimento: ¡Arcoiris con dulces de colores! (Muy fácil),"Jun 25, 2017",153014,189955,8.74,0:02:01
K1Zsk46UF0Y,¿Cómo hacer exámenes que se califiquen solos? (Formularios de Google!),"Jan 9, 2017",152384,31917,1.84,0:07:17
_8onVOY2j4E,"Python: Leer archivos CSV, Selección de datos, columnas y filas con Pandas (Básico)","Nov 4, 2016",150335,185754,10.36,0:02:27
YOHtIzPmfzE,Secante | Raíces | Métodos Numéricos  | Básico,"Oct 2, 2017",134685,120895,17.29,0:02:47
yqNTotAkaC8,Excel: Buscar y regresar múltiples resultados (Básico),"Apr 21, 2017",132545,78387,10.38,0:03:33
PXdjSYPYLZ4,Método de Euler | Ecuaciones Diferenciales |Métodos Numéricos | Parte 1,"Apr 22, 2020",127342,257583,14.61,0:03:08
97o5ckUHDmo,Arreglos en Python: Introducción al uso de vectores y matrices (Numpy),"Jul 23, 2016",124453,111067,11.17,0:02:32
MEeaUU4Wc1g,Ecuaciones cuadráticas con raíces negativas  |Ejemplo resuelto | ¡Muy Básico!,"Aug 24, 2017",118540,107430,12.56,0:02:13
H_Wwgpuw0w8,¿Cómo nombrar óxidos utilizando la nomenclatura STOCK? (Básico),"Oct 9, 2016",117830,188278,15.86,0:03:02
m6uahP62olo,Método de bisección para encontrar raíces (Muy básico),"Jun 30, 2017",111971,91759,5.79,0:03:25
_q9wjt53RwI,📱¿Cómo hacer carpetas en Drive desde el teléfono celular?| Trabajo a Distancia | ¡Muy Fácil!,"Apr 15, 2020",105153,68043,11.61,0:02:32
nzC_OMByY9Q,Mol: Conversiones de gramos a mol y mol a gramos,"Sep 26, 2016",104096,15803,4.97,0:02:35
JJ7BMoQotEY,Pandas desde cero (Python): ¿Cómo hacer un Data frame? (Básico),"Jun 23, 2017",103195,101052,4.23,0:04:21
ArQSZ3jb-as,¿Cómo calcular el diámetro de una tubería? | Ejercicio resuelto | ¡Muy básico! | Mecánica de Fluidos,"Jul 3, 2019",89656,173695,8.22,0:02:40
hky6aQw65lw,"TkInter para Python: ¿Cómo activar una segunda ventana, con un botón y una condición? (Básico)","May 27, 2017",89583,205640,7.06,0:03:49
-s3IinvYW0Y,Trabalenguas: ¿Qué tan rápido los puedes leer?,"Apr 30, 2017",88215,42182,4.52,0:01:29
9RVhpX5ae6k,Suma y resta de números negativos,"Aug 27, 2014",83309,200331,11.91,0:02:31
gdI8bqpN23I,Calculadora científica: Operaciones grandes y ¡Más rápido! ¿Cómo usar la memoria y los paréntesis?,"Aug 28, 2016",83246,85492,10.64,0:02:25
0I5SRIf2HH8,Experimento ¡Comestible!: Masa para dulces de azúcar glass (Sólo 3 ingredientes),"Aug 22, 2016",81916,109312,7.23,0:03:23
-f7BxfSC6Es,Gráficas de datos|DataFrame |Seaborn| Matplotlib | Pandas  | Python,"Dec 22, 2017",79526,121997,6.14,0:03:41
U9l4WcoFprE,¿Cómo convertir entre el sistema quinario y decimal? (Básico),"Nov 22, 2016",78680,49961,11.66,0:03:14
6ofsd88FQKo,"Hablando en código: Hablar con la ""F"" y la ""Chu"" / Speaking Spanish in code","Jun 22, 2015",76940,26334,9.33,0:01:43
4pn4nIqirIo,"Despejes muy rudos: ¿Como despejar x de una raíz cuadrada, con fracciones?","Sep 16, 2016",76537,60165,4.99,0:02:36
hICUOdxL_Fw,Ejemplo de sumas y restas en la recta numérica (Por petición),"Jan 23, 2017",76210,96348,9.17,0:02:06
iPXiZALnZFg,TkInter para Python: ¿Cómo hacer una ventana? (Básico),"Apr 14, 2017",74895,85555,6.67,0:02:55
Y82UMypKkng,"Python: Listas ¿Cómo Insertar, borrar, y modificar datos?  (Básico)","Apr 10, 2017",73251,75892,7.99,0:02:46
TRKebElniyo,"QT Designer para Python: Hacer una ventana e insertar una imagen, P1 (Básico)","Aug 4, 2017",72616,84088,7.09,0:02:37
xXURaQ4SA78,¡No tires a la basura tu calculadora! Ajuste del brillo de la pantalla,"Apr 27, 2016",71665,78607,7.49,0:01:12
ipyIYYhS_7w,Juego del ahorcado: Python (Básico),"Mar 16, 2017",71355,110771,9.14,0:03:51
-VwCBPa3soU,Experimento: ¡Reacción de Bicarbonato de sodio y vinagre en bolsa!,"Jun 4, 2017",67750,42635,4.51,0:02:16
6daelkg5KKg,💡 ¿Cómo convertir longitud de onda a frecuencia? | Cálculos con longitudes de onda | ¡Muy básico!,"Aug 27, 2019",67355,98870,11.9,0:02:24
dc1WLom-vfg,¿Cómo hacer una lista desplegable y usar BuscarV en Excel? (Básico),"Feb 10, 2017",66726,132401,13.18,0:02:59
DR_G1EF7C1Y,Python: ¿Cómo grabar la información en un archivo TXT? (Básico),"May 16, 2017",66564,131377,7.82,0:02:53
4jnel2Kd9MU,¿Cómo abrir los archivos JSON?| Python │Módulo JSON │¡Muy fácil!,"Jun 30, 2019",64366,70252,14.98,0:01:34
5Wh6_hJ3L4A,Experimento ¡Riquísimo!: Helado casero en bolsa (Sólo 3 ingredientes),"Aug 9, 2016",60542,86670,8.73,0:03:09
QmMMtkSClvs,Formularios con condiciones  | Google Drive|Formularios de Google |¡Muy Fácil!,"Jan 6, 2019",58825,20713,7.54,0:03:34
TCmU2-3oPAA,"Python desde Cero: El ciclo While, contadores (Básico)","Feb 27, 2017",58060,97552,12.5,0:02:02
3Tfnv5dp63U,Cálculo de la presión |Ecuación de Bernoulli | Mecánica de fluidos  | ¡Muy Básico!,"Jan 26, 2018",57672,36175,6.24,0:02:49
OdIYgiCGDFs,Scratch: ¿Cómo programar las vidas? (variables),"Jul 17, 2016",56475,22929,6.24,0:02:05
y9wlFD-TBNM,Abrir archivos de Excel en las hojas de cálculo de Google|Sheets |Muy Básico |P3,"Aug 15, 2017",55923,25918,18.81,0:01:24
6W80Q4eJgEY,¿Cómo usar las fórmulas en Excel? (Básico),"Jan 21, 2017",55740,7342,4.32,0:02:30
3aUebuN4Erg,¿Cómo balancear ecuaciones con el método algebraico?,"Feb 18, 2017",52926,22692,7.09,0:02:54
YhGP6w-XwYQ,Triángulos con asteriscos │Ciclo For │Python 3.x │Desde cero │¡Muy Básico!,"Jan 16, 2018",52706,102542,7.51,0:02:26
HNLDp76lhqs,Scratch: ¿Cómo hacer para que un objeto se mueva solo?,"Jun 9, 2016",52462,27578,7.66,0:02:07
vB1XXmMRm8o,¿Cómo hacer un Formulario y un botón en Excel? (Básico),"Feb 10, 2017",52195,46998,10.3,0:02:30
mknCZj0cJkE,Experimento: Lluvia de colores en un vaso (Sólo 3 ingredientes),"Aug 3, 2016",50610,28113,6.59,0:01:56
nc4kB3HxjiA,Leer un archivo xls| Pandas  | Python  | ¡Muy Básico!,"Aug 17, 2017",50462,46787,10.89,0:01:55
eqmPtuUj2FI,¿Cómo encontrar dos números que sumados den..y multiplicados den..? | Desmos | Factorizaciones,"Oct 5, 2019",50382,30768,10.08,0:01:26
hjIv-Pc4SCo,Diagramas de Flujo  | Google Drive|Draw.io |Software en línea |Básico,"Sep 12, 2017",49638,78148,8.26,0:02:31
yP-7Hhqngbo,"Python: Gráficas, Ajuste de Datos, Lectura de datos (Pandas, mathplotlib, Numpy, SciPy)","Oct 25, 2016",49620,89887,5.67,0:03:13
D4_SQawLwQs,"TkInter para Python: Programar los botones, suma de dos números (Básico)","Apr 22, 2017",48019,95026,7.61,0:03:29
kuJPVu_P_OM,Suma y resta de polinomios,"Jul 3, 2016",47905,98138,9.44,0:02:32
zT1jJWdqPik,Balances de materia: Problema resuelto 1,"Nov 30, 2016",47576,17011,4.35,0:02:54
Sv5s6WLaVKw,"¿Cómo despejar ecuaciones? (Sumas, restas, multiplicaciones y divisiones)","Jul 11, 2016",46751,46604,8.06,0:03:12
xDVz74vrD2I,Newton-Raphson | Raíces | Métodos Numéricos  | Básico,"Sep 25, 2017",46579,93095,7.82,0:02:27
WhbrE_ZELbg,¿Cómo buscar valores? | BuscarV| BuscarH | Google Sheets | Google Drive| ¡Muy Fácil!,"Jun 7, 2019",43995,53301,13.55,0:03:26
eYklgZpRXhQ,¿Cómo hacer una fórmula con condición en Excel?,"Jan 21, 2017",43416,18002,16.24,0:02:27
Rk9QU-lOPtI,"Python: Multiplicación de matrices (Paso a paso, básico)","Dec 20, 2016",42371,73369,8.07,0:03:22
85xsOwpEps4,"Python desde Cero: El ciclo For, lo básico","Jan 3, 2017",41756,89205,6.84,0:03:04
