_id,cve_entidad,entidad,cve_municipio,municipio,cve_localidad,localidad,institucion,nombre_institucion,escuela,nombre_escuela,cv_control,control,cv_subcontrol,c_subcontrol,domicilio,modalidad,escuelas_tec_esc,alumnos_tec_esc,tec_hom_esc,tec_muj_esc,ni_tec_total_esc,ni_tec_hom_esc,ni_tec_muj_esc,egre_tec_total_esc,egre_tec_hom_esc,egre_tec_muj_esc,titu_tec_total_esc,titu_tec_hom_esc,titu_tec_muj_esc,doc_tec_total_esc,doc_tec_hombres_esc,doc_tec_mujeres_esc,esc_lic_esc,alumnos_lic_esc,lic_hom_esc,lic_muj_esc,ni_lic_total_esc,ni_lic_hom_esc,ni_lic_muj_esc,egre_lic_total_esc,egre_lic_hom_esc,egre_lic_muj_esc,titu_lic_total_esc,titu_lic_hom_esc,titu_lic_muj_esc,doc_lic_total_esc,doc_lic_hombres_esc,doc_lic_mujeres_esc,esc_normal_esc,alumnos_lic_esc_normal,normal_hom_esc,normal_muj_esc,ni_normal_total_esc,ni_normal_hom_esc,ni_normal_muj_esc,egre_normal_total_esc,egre_normal_hom_esc,egre_normal_muj_esc,titu_normal_total_esc,titu_normal_hom_esc,titu_normal_muj_esc,doc_normal_total_esc,doc_normal_hombres_esc,doc_normal_mujeres_esc,esc_pos_esc,alum_pos_esc,pos_hombres_esc,pos_mujeres_esc,ni_pos_totales_esc,ni_pos_hombres_esc,ni_pos_mujeres_esc,egre_pos_total_esc,egre_pos_hombres_esc,egre_pos_mujeres_esc,titu_pos_total_esc,titu_pos_hombres_esc,titu_pos_mujeres_esc,doc_pos_total_esc,doc_pos_hombres_esc,doc_pos_mujeres_esc,fn_domicilio,entidad_etq
1,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0001N,UNIDAD U.P.N. 011 AGUASCALIENTES,01DUP0002H,UNIDAD U.P.N. 011 AGUASCALIENTES,1,PÚBLICO,5,FEDERAL TRANSFERIDO,CALLE JESUS CONSUELO 226,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,19,136,51,8,43,18,2,16,17,1,16,18,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,15,40,21,5,16,0,0,0,1,0,1,10,3,7,,Aguascalientes
2,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0003L,INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS AGUASCALIENTES,01PSU0004H,INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS AGUASCALIENTES,2,PRIVADO,1,PRIVADO,CALLE CARRETERA LOS POCITOS JESUS MARIA KILOMETRO 1.5 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,450,252,198,133,87,46,29,19,10,29,19,10,76,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
3,1,AGUASCALIENTES,7,RINCÓN DE ROMOS,1,RINCÓN DE ROMOS,01MSU0006I,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,01EUT0002T,UNIVERSIDAD TECNOLOGICA DEL NORTE DE AGUASCALIENTES,1,PÚBLICO,2,ESTATAL,AVENIDA UNIVERSIDAD 1001,ESCOLARIZADA,1,1803,1007,796,1170,652,518,472,230,242,453,225,228,105,80,25,1,859,454,405,0,0,0,480,239,241,468,230,238,70,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
4,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0007H,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,01ESU0001E,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,1,PÚBLICO,2,ESTATAL,CALLE LOS CONOS 105,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,8,4,12,8,4,16,11,5,16,11,5,6,3,3,,Aguascalientes
5,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0008G,UNIVERSIDAD VILLASUNCION,01PSU0006F,UNIVERSIDAD VILLASUNCION,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 601,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,49,38,25,14,11,12,9,3,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
6,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0008G,UNIVERSIDAD VILLASUNCION,01PSU0015N,CIENCIAS BIOMEDICAS,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 601,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,259,58,201,0,0,0,96,12,84,0,0,0,36,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
7,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0008G,UNIVERSIDAD VILLASUNCION,01PSU0016M,CIENCIAS JURIDICAS,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 601,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,55,105,58,21,37,68,28,40,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
8,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0009F,UNIVERSIDAD DEL VALLE DE MEXICO,01PSU0007E,UNIVERSIDAD DEL VALLE DE MEXICO,2,PRIVADO,1,PRIVADO,BOULEVARD JUAN PABLO II 1144,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,346,145,201,84,28,56,78,34,44,42,20,22,52,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
9,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0010V,CENTRO DE ESTUDIOS SUPERIORES DEL ESTADO DE AGUASCALIENTES,01PSU0008D,CENTRO DE ESTUDIOS SUPERIORES DEL ESTADO DE AGUASCALIENTES,2,PRIVADO,1,PRIVADO,AVENIDA LAS AMERICAS 502,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aguascalientes
10,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0011U,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,01EPO0001X,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,1,PÚBLICO,2,ESTATAL,CALLE PASEO SAN GERARDO 207,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2505,1663,842,938,624,314,422,271,151,426,281,145,180,106,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,10,11,13,4,9,0,0,0,3,2,1,7,4,3,,Aguascalientes
