"NOMBRE DEL SUJETO DE APOYO","NOMBRE DEL PROYECTO","MONTO","FOMIX"
"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.","CASA MATEMATICA OAXACA.- CENTRO DE INVESTIGACION Y ENSENANZA",40000000,"OAXACA"
"CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","CREACION DE UN CENTRO DE INNOVACION Y DESARROLLO TECNOLOGICO DE CALIDAD INTERNACIONAL QUE CONTRIBUYA A INCREMENTAR LA PRODUCTIVIDAD Y COMPETITIVIDAD DE LA INDUSTRIA PETROLERA.",80000000,"CAMPECHE"
"UNIVERSIDAD AUTONOMA DE TAMAULIPAS","CAPITAL HUMANO PARA LA INNOVACION Y COMPETITIVIDAD EN TAMAULIPAS ",124500,"TAMAULIPAS"
"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.","UNIDAD YUCATAN DEL CIMAT",35799546,"YUCATAN"
"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.","SISTEMA INTEGRAL DE JUSTICIA LABORAL PARA EL ESTADO DE
GUANAJUATO",5090000,"GUANAJUATO"
"UNION DE I.C. Y ARQ. DE Q.ROO S.C.","DISENO, CONSTRUCCION, EQUIPAMIENTO Y PUESTA EN MARCHA DEL COMPLEJO PLANETARIO COZUMEL.",59650000,"QUINTANA ROO"
"CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS SC","CREACION DEL CENTRO DE INNOVACION Y COMPETITIVIDAD EN ENERGIAS RENOVABLES Y MEDIO AMBIENTE DE DURANGO (CIMAV UNIDAD DURANGO)",72000000,"DURANGO"
"INSTITUTO NACIONAL DE SALUD PUBLICA","EVALUACION INTEGRAL DEL PROGRAMA DE ESTUFAS ECOLOGICAS EN SAN LUIS POTOSI Y PROPUESTA DE INTERVENCION",8122251,"SAN LUIS POTOSI"
"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.","CONSTRUCCION Y PUESTA EN MARCHA DE LA RED ESTATAL DE SUPERCOMPUTO Y DE DIVULGACION DE LA CIENCIA Y LA TECNOLOGIA",60000000,"GUANAJUATO"
"CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","LABORATORIO DE DISENO EN SISTEMAS ROBOTIZADOS Y MANUFACTURA FLEXIBLE",10000000,"ESTADO DE MEXICO"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO E INTERNACIONALIZACION DE LA MAESTRIA EN INGENIERIA Y CIENCIAS APLICADAS",1435805.8,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","CONSOLIDACION  DEL PROGRAMA DE DOCTORADO EN FARMACIA PARA PROMOVER LA FORMACION DE RECURSOS HUMANOS DE ALTO NIVEL",630000,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO DE LA INVESTIGACION EN LA MEDICINA DE URGENCIAS DEL ESTADO DE MORELOS PARA LA PERMANENCIA DE LA ESPECIALIDAD DE MEDICINA DE URGENCIAS EN EL PNPC",1527000,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","ESTRATEGIAS PARA EL MEJORAMIENTO DE LOS INDICADORES DE LA MAESTRIA EN BIOLOGIA INTEGRATIVA DE LA BIODIVERSIDAD Y LA CONSERVACION",322676,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","APOYO Y FORTALECIMIENTO DEL NUCLEO ACADEMICO BASICO Y FUNCIONALIDAD DE LOS LABORATORIOS DE INVESTIGACION PARA LA CONSOLIDACION Y PERMANENCIA DE LA MAESTRIA EN MEDICINA MOLECULAR EN EL PNPC",2145695,"MORELOS"
"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE FISICA","PLAN ESTRATEGICO PARA LA CONSTRUCCION Y OPERACION DE UN SINCROTRON EN MORELOS.",7315300,"MORELOS"
"INSTITUTO POLITECNICO NACIONAL","FORTALECIMIENTO DEL PROGRAMA DE MAESTRIA EN CIENCIAS EN DESARROLLO DE PRODUCTOS BIOTICOS DEL CEPROBI-IPN PARA ALCANZAR EL NIVEL DE COMPETENCIA INTERNACIONAL DEL PNPC DEL CONACYT",740000,"MORELOS"
"DIRECCION GENERAL DE EDUCACION SUPERIOR TECNOLOGICA / CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO","PROYECCION HACIA EL NIVEL INTERNACIONAL DEL DOCTORADO EN CIENCIAS EN INGENIERIA ELECTRONICA DEL CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO",1307000,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO Y CONSOLIDACION DEL PROGRAMA DE MAESTRIA DE MANEJO EN RECURSOS NATURALES DEL CENTRO DE INVESTIGACIONES BIOLOGICAS DE LA UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS",2180196,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","INCREMENTO Y MANTENIMIENTO DE LA COMPETITIVIDAD DEL PROGRAMA EDUCATIVO DE DOCTORADO EN CIENCIAS AGROPECUARIAS Y DESARROLLO RURAL",2450000,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","IMPLEMENTACION DEL PLAN DE MEJORA: FORTALECIMIENTO DE LA MAESTRIA EN INVESTIGACION EDUCATIVA",415200,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO AL PROGRAMA DE MAESTRIA EN BIOTECNOLOGIA DE LA UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS",304000,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO Y CONSOLIDACION DEL DOCTORADO EN INGENIERIA Y CIENCIAS APLICADAS",1560958.75,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO DE INDICADORES DE CALIDAD DEL PROGRAMA DE MAESTRIA EN ESTUDIOS TERRITORIALES, PAISAJE Y PATRIMONIO",1360000,"MORELOS"
"DIRECCION GENERAL DE EDUCACION SUPERIOR TECNOLOGICA / CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO","FORTALECIMIENTO DE LA INFRAESTRUCTURA DE LOS LABORATORIOS DEL DIM PARA EL PROGRAMA DE DOCTORADO EN CIENCIAS EN INGENIERIA MECANICA",1166256.49,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","FORTALECIMIENTO AL DOCTORADO EN CIENCIAS NATURALES",662000,"MORELOS"
"UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS","CONSOLIDACION DEL PROGRAMA DE MAESTRIA EN PSICOLOGIA",810200,"MORELOS"
