AL,CVInd,CVMeca,Quim
211050004,201050323,211050166,211050164
201050002,211050307,211050162,221050106
211050017,211050294,211050153,221050101
211050010,211050305,211050157,211050169
211050005,211050288,211050174,221050128
211050049,211050298,191050134,211050175
201050033,211050286,211050156,221050107
211050012,211050296,211050190,221050111
211050009,211050299,211050184,221050127
A211050452,211050297,211050161,221050108
211050011,211050285,211050170,221050110
211050006,211050291,211050168,221050103
211050015,211050308,211050167,221050112
211050052,,211050160,221050109
211050044,,211050171,221050105
211050002,,211050182,221050116
211050001,,211050187,211050180
211050018,,211050173,221050114
201050055,,211050172,221050115
211050008,,211050186,221050113
,,211050155,221050104
,,211050163,221050118
,,211050154,221050119
,,,221050120
,,,221050121
,,,221050117
,,,221050102
,,,221050100
,,,221050126
,,,221050122
,,,221050123
,,,221050129
,,,221050124
,,,221050125
