sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
158023,https://sofifa.com/player/158023/lionel-messi/210002,L. Messi,Lionel Andrés Messi Cuccittini,33,1987-06-24,170,72,Argentina,FC Barcelona,Spain Primera Division,1,93,93,67500000,560000,"RW, ST, CF",Left,5,4,4,Medium/Low,Messi,Yes,138400000,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",CAM,10,,2004-07-01,2021,RW,10,85,92,91,95,38,65,,,,,,,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, One Club Player, Team Player, Chip Shot (AI)",85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,,35,24,6,11,15,14,8,89+3,89+3,89+3,92+0,93+0,93+0,93+0,92+0,93+0,93+0,93+0,91+2,87+3,87+3,87+3,91+2,66+3,65+3,65+3,65+3,66+3,62+3,52+3,52+3,52+3,62+3
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/210002,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,35,1985-02-05,187,83,Portugal,Juventus,Italian Serie A,1,92,92,46000000,220000,"ST, LW",Right,5,4,5,High/Low,C. Ronaldo,Yes,75900000,"#Aerial Threat, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LS,7,,2018-07-10,2022,LS,7,89,93,81,89,35,77,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot",84,95,90,82,86,88,81,76,77,92,87,91,87,95,71,94,95,84,78,93,63,29,95,82,84,95,,32,24,7,11,15,14,11,91+1,91+1,91+1,89+0,91+0,91+0,91+0,89+0,88+3,88+3,88+3,88+3,81+3,81+3,81+3,88+3,65+3,61+3,61+3,61+3,65+3,61+3,54+3,54+3,54+3,61+3
200389,https://sofifa.com/player/200389/jan-oblak/210002,J. Oblak,Jan Oblak,27,1993-01-07,188,87,Slovenia,Atlético Madrid,Spain Primera Division,1,91,93,75000000,125000,GK,Right,3,3,1,Medium/Medium,PLAYER_BODY_TYPE_259,Yes,159400000,,GK,13,,2014-07-16,2023,GK,1,,,,,,,87,92,78,90,52,90,"GK Long Throw, Comes For Crosses",13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,,12,18,87,92,78,90,90,33+3,33+3,33+3,32+0,35+0,35+0,35+0,32+0,38+3,38+3,38+3,35+3,38+3,38+3,38+3,35+3,32+3,36+3,36+3,36+3,32+3,32+3,33+3,33+3,33+3,32+3
188545,https://sofifa.com/player/188545/robert-lewandowski/210002,R. Lewandowski,Robert Lewandowski,31,1988-08-21,184,80,Poland,FC Bayern München,German 1. Bundesliga,1,91,91,80000000,240000,ST,Right,4,4,4,High/Medium,PLAYER_BODY_TYPE_276,Yes,132000000,"#Distance Shooter, #Clinical Finisher",ST,9,,2014-07-01,2023,,,78,91,78,85,43,82,,,,,,,"Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",71,94,85,84,89,85,79,85,70,88,77,78,77,93,82,89,84,76,86,85,81,49,94,79,88,88,,42,19,15,6,12,8,10,89+2,89+2,89+2,85+0,87+0,87+0,87+0,85+0,85+3,85+3,85+3,83+3,79+3,79+3,79+3,83+3,64+3,65+3,65+3,65+3,64+3,61+3,60+3,60+3,60+3,61+3
190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/210002,Neymar Jr,Neymar da Silva Santos Júnior,28,1992-02-05,175,68,Brazil,Paris Saint-Germain,French Ligue 1,1,91,91,90000000,270000,"LW, CAM",Right,5,5,5,High/Medium,Neymar,Yes,166500000,"#Speedster, #Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",LW,10,,2017-08-03,2022,,,91,85,86,94,36,59,,,,,,,"Injury Prone, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",85,87,62,87,87,95,88,89,81,95,94,89,96,91,83,80,62,81,50,84,51,36,87,90,92,93,,30,29,9,9,15,15,11,84+3,84+3,84+3,90+0,89+0,89+0,89+0,90+0,90+1,90+1,90+1,90+1,83+3,83+3,83+3,90+1,67+3,62+3,62+3,62+3,67+3,62+3,49+3,49+3,49+3,62+3
192985,https://sofifa.com/player/192985/kevin-de-bruyne/210002,K. De Bruyne,Kevin De Bruyne,29,1991-06-28,181,70,Belgium,Manchester City,English Premier League,1,91,91,87000000,370000,"CAM, CM",Right,4,5,4,High/High,PLAYER_BODY_TYPE_321,Yes,161000000,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",RCM,17,,2015-08-30,2023,RCM,7,76,86,93,88,64,78,,,,,,,"Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",94,82,55,94,82,88,85,83,93,92,77,76,78,91,76,91,63,89,74,91,76,66,88,94,84,91,,65,53,15,13,5,10,13,83+3,83+3,83+3,88+0,88+0,88+0,88+0,88+0,89+2,89+2,89+2,89+2,89+2,89+2,89+2,89+2,79+3,80+3,80+3,80+3,79+3,75+3,69+3,69+3,69+3,75+3
231747,https://sofifa.com/player/231747/kylian-mbappe/210002,K. Mbappé,Kylian Mbappé Lottin,21,1998-12-20,178,73,France,Paris Saint-Germain,French Ligue 1,1,90,95,105500000,160000,"ST, LW, RW",Right,3,4,5,High/Low,PLAYER_BODY_TYPE_343,Yes,203100000,"#Speedster, #Dribbler, #Acrobat",LS,7,,2018-07-01,2022,RM,10,96,86,78,91,39,76,,,,,,,"Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",78,91,73,83,83,92,79,63,70,90,96,96,92,92,82,86,77,86,76,79,62,38,91,80,70,84,,34,32,13,5,7,11,6,88+3,88+3,88+3,89+0,89+0,89+0,89+0,89+0,87+3,87+3,87+3,87+3,79+3,79+3,79+3,87+3,67+3,63+3,63+3,63+3,67+3,63+3,55+3,55+3,55+3,63+3
192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/210002,M. ter Stegen,Marc-André ter Stegen,28,1992-04-30,187,85,Germany,FC Barcelona,Spain Primera Division,1,90,93,69500000,260000,GK,Right,3,4,1,Medium/Medium,PLAYER_BODY_TYPE_262,Yes,147700000,,GK,1,,2014-07-01,2022,SUB,22,,,,,,,88,85,88,90,45,88,"Rushes Out Of Goal, Comes For Crosses, Saves with Feet",18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,,13,10,88,85,88,88,90,35+3,35+3,35+3,34+0,38+0,38+0,38+0,34+0,42+3,42+3,42+3,39+3,45+3,45+3,45+3,39+3,33+3,41+3,41+3,41+3,33+3,31+3,33+3,33+3,33+3,31+3
203376,https://sofifa.com/player/203376/virgil-van-dijk/210002,V. van Dijk,Virgil van Dijk,28,1991-07-08,193,92,Netherlands,Liverpool,English Premier League,1,90,91,75500000,210000,CB,Right,3,3,2,Medium/Medium,PLAYER_BODY_TYPE_314,Yes,145300000,"#Tackling, #Tactician, #Strength, #Complete Defender",LCB,4,,2018-01-01,2023,LCB,4,76,60,71,71,91,86,,,,,,,"Solid Player, Leadership, Long Passer (AI), Power Header",53,52,87,79,45,70,60,70,86,77,72,79,61,89,53,81,90,75,92,64,83,90,47,65,62,90,,93,86,13,10,13,11,11,70+3,70+3,70+3,68+0,69+0,69+0,69+0,68+0,70+3,70+3,70+3,70+3,76+3,76+3,76+3,70+3,80+3,85+3,85+3,85+3,80+3,82+3,89+2,89+2,89+2,82+3
212831,https://sofifa.com/player/212831/alisson-ramses-becker/210002,Alisson,Alisson Ramsés Becker,27,1992-10-02,191,91,Brazil,Liverpool,English Premier League,1,90,91,62500000,160000,GK,Right,3,3,1,Medium/Medium,PLAYER_BODY_TYPE_312,Yes,120300000,,GK,1,,2018-07-19,2024,,,,,,,,,86,88,85,89,51,91,"GK Long Throw, Rushes Out Of Goal",17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,,19,16,86,88,85,91,89,36+3,36+3,36+3,35+0,38+0,38+0,38+0,35+0,40+3,40+3,40+3,38+3,40+3,40+3,40+3,38+3,31+3,35+3,35+3,35+3,31+3,30+3,30+3,30+3,30+3,30+3
